YEAR,TOTAL_INVESTED,ALL_ALTERNATIVE
1992,284652.8749530202,147655.86974898865
1995,321740.7707355364,146598.27541329668
1998,403230.0254485947,160173.63369536932
2001,521708.39353813464,202075.04857586863
2004,503926.83652626583,215549.50452762065
2007,574892.654128481,262057.59596425857
2010,510271.83680369897,213532.38040929296
2013,524874.7163989581,204551.90641177565
2016,670012.0765170874,263856.129892041
2019,675634.6358771758,263310.55988151697
2022,792779.4682751085,305250.1047855812
