Date,ETH-USD
2021-06-01,2274.547607421875
2021-07-01,2536.2099609375
2021-08-01,3433.732666015625
2021-09-01,3001.678955078125
2021-10-01,4288.07421875
2021-11-01,4631.47900390625
2021-12-01,3682.6328125
2022-01-01,2688.27880859375
2022-02-01,2919.201171875
2022-03-01,3281.642822265625
2022-04-01,2730.186767578125
2022-05-01,1942.3280029296875
2022-06-01,1067.298828125
2022-07-01,1681.517333984375
2022-08-01,1553.6849365234375
2022-09-01,1327.9786376953125
2022-10-01,1572.7144775390625
2022-11-01,1295.6885986328125
2022-12-01,1196.771240234375
2023-01-01,1586.535400390625
2023-02-01,1605.8951416015625
2023-03-01,1822.0220947265625
2023-04-01,1876.92431640625
2023-05-01,1874.1304931640625
2023-06-01,1933.18896484375
2023-07-01,1856.162353515625
2023-08-01,1645.63916015625
2023-09-01,1671.161865234375
2023-10-01,1816.458984375
2023-11-01,2052.55615234375
2023-12-01,2281.47119140625
2024-01-01,2282.54443359375
2024-02-01,3341.919677734375
2024-03-01,3647.8564453125
2024-04-01,3012.286865234375
2024-05-01,3760.026611328125
2024-06-01,3432.88916015625
2024-07-01,3231.295654296875
2024-08-01,2513.393798828125
2024-09-01,2603.062744140625
2024-10-01,2515.79931640625
2024-11-01,3705.705322265625
2024-12-01,3332.53173828125
2025-01-01,3298.26513671875
2025-02-01,2237.9052734375
2025-03-01,1823.47998046875
2025-04-01,1793.775390625
2025-05-01,2529.08740234375
2025-06-01,2486.46435546875
2025-07-01,3696.707763671875
2025-08-01,4390.01904296875
2025-09-01,4145.95751953125
2025-10-01,3847.080322265625
2025-11-01,2992.112548828125
2025-12-01,2967.03759765625
2026-01-01,2445.091796875
2026-02-01,1965.050537109375
2026-03-01,2104.708251953125
2026-04-01,2256.251220703125
2026-05-01,2004.341552734375
2026-06-01,1579.22998046875
